Date,GAME,GameID,Visitor Team,Home Team,VisTeamID,HomeTeamID,RATING,VIEWERS,Network,TeamIDsDate
9/22/2018,Texas A&M @ Alabama,Texas A&M-Alabama09-22-2018,Texas A&M,Alabama,TAMU,UA,3.4,5710000,CBS,TAMU@UA09-22-2018
11/10/2018,Mississippi State @ Alabama,Mississippi State-Alabama11-10-2018,Mississippi State,Alabama,MS,UA,3.3,5460000,CBS,MS@UA11-10-2018
11/24/2018,Auburn @ Alabama,Auburn-Alabama11-24-2018,Auburn,Alabama,AU,UA,5.1,9130000,CBS,AU@UA11-24-2018
10/21/2017,Tennessee @ Alabama,Tennessee-Alabama10-21-2017,Tennessee,Alabama,TENN,UA,2.8,4490000,CBS,TENN@UA10-21-2017
11/4/2017,LSU @ Alabama,LSU-Alabama11-04-2017,LSU,Alabama,LSU,UA,3.9,6800000,CBS,LSU@UA11-04-2017
10/22/2016,Texas &M @ Alabama,Texas A&M-Alabama10-22-2016,Texas A&M,Alabama,TAMU,UA,5,8500000,CBS,TAMU@UA10-22-2016
11/26/2016,Auburn @ Alabama,Auburn-Alabama11-26-2016,Auburn,Alabama,AU,UA,4.5,8200000,CBS,AU@UA11-26-2016
10/24/2015,Tennessee @ Alabama,Tennessee-Alabama10-24-2015,Tennessee,Alabama,TENN,UA,4.3,6997000,CBS,TENN@UA10-24-2015
11/7/2015,LSU @ Alabama,LSU-Alabama11-07-2015,LSU,Alabama,LSU,UA,6.5,11119000,CBS,LSU@UA11-07-2015
9/20/2014,Florida @ Alabama,Florida-Alabama09-20-2014,Florida,Alabama,UF,UA,5.1,7949000,CBS,UF@UA09-20-2014
10/18/2014,Texas A&M @ Alabama,Texas A&M-Alabama10-18-2014,Texas A&M,Alabama,TAMU,UA,2.8,4204000,CBS,TAMU@UA10-18-2014
11/15/2014,Miss State @ Alabama,Mississippi State-Alabama11-15-2014,Mississippi State,Alabama,MS,UA,6.4,10268000,CBS,MS@UA11-15-2014
10/26/2013,UT @ ALA,Tennessee-Alabama10-26-2013,Tennessee,Alabama,TENN,UA,2.6,4028000,CBS,TENN@UA10-26-2013
11/9/2013,LSU @ ALA,LSU-Alabama11-09-2013,LSU,Alabama,LSU,UA,6.9,11903000,CBS,LSU@UA11-09-2013
11/10/2012,TAMU @ ALA,Texas A&M-Alabama11-10-2012,Texas A&M,Alabama,TAMU,UA,6.1,9570000,CBS,TAMU@UA11-10-2012
11/24/2012,AUB @ ALA,Auburn-Alabama11-24-2012,Auburn,Alabama,AU,UA,2.4,3890000,CBS,AU@UA11-24-2012
9/24/2011,ARK @ ALA,Arkansas-Alabama09-24-2011,Arkansas,Alabama,AR,UA,2.9,4730000,CBS,AR@UA09-24-2011
11/5/2011,LSU @ ALA,LSU-Alabama11-05-2011,LSU,Alabama,LSU,UA,11.5,20010000,CBS,LSU@UA11-05-2011
10/2/2010,FLA @ ALA,Florida-Alabama10-02-2010,Florida,Alabama,UF,UA,5,8595000,CBS,UF@UA10-02-2010
11/26/2010,AU @ AL,Auburn-Alabama11-26-2010,Auburn,Alabama,AU,UA,7.3,12520000,CBS,AU@UA11-26-2010
9/26/2009,ARK @ ALA,Arkansas-Alabama09-26-2009,Arkansas,Alabama,AR,UA,2.4,N/A,CBS,AR@UA09-26-2009
10/24/2009,UT @ ALA,Tennessee-Alabama10-24-2009,Tennessee,Alabama,TENN,UA,3.6,N/A,CBS,TENN@UA10-24-2009
11/7/2009,LSU @ ALA,LSU-Alabama11-07-2009,LSU,Alabama,LSU,UA,4.3,N/A,CBS,LSU@UA11-07-2009
11/27/2009,AU @ ALA,Auburn-Alabama11-27-2009,Auburn,Alabama,AU,UA,4.9,N/A,CBS,AU@UA11-27-2009
10/4/2008,UK @ ALA,Kentucky-Alabama10-04-2008,Kentucky,Alabama,UK,UA,2.3,N/A,CBS,UK@UA10-04-2008
11/29/2008,AUB @ ALA,Auburn-Alabama11-29-2008,Auburn,Alabama,AU,UA,4,N/A,CBS,AU@UA11-29-2008
12/6/2008,FLA vs ALA,Florida-Alabama12-06-2008,Florida,Alabama,UF,UA,9.3,N/A,CBS,UF@UA12-06-2008
9/29/2007,FSU vs. ALA,Florida State-Alabama09-29-2007,Florida State,Alabama,FSU,UA,2.5,N/A,CBS,FSU@UA09-29-2007
11/3/2007,LSU @ ALA,LSU-Alabama11-03-2007,LSU,Alabama,LSU,UA,4,N/A,CBS,LSU@UA11-03-2007
11/18/2006,AU @ ALA,Auburn-Alabama11-18-2006,Auburn,Alabama,AU,UA,1.9,N/A,CBS,AU@UA11-18-2006
10/1/2005,UF @ ALA,Florida-Alabama10-01-2005,Florida,Alabama,UF,UA,3.1,N/A,CBS,UF@UA10-01-2005
10/22/2005,UT @ ALA,Tennessee-Alabama10-22-2005,Tennessee,Alabama,TENN,UA,3.6,N/A,CBS,TENN@UA10-22-2005
11/12/2005,LSU @ ALA,LSU-Alabama11-12-2005,LSU,Alabama,LSU,UA,4.4,N/A,CBS,LSU@UA11-12-2005
11/20/2004,Auburn @ Alabama,Auburn-Alabama11-20-2004,Auburn,Alabama,AU,UA,4.4,N/A,CBS,AU@UA11-20-2004
9/27/2003,Arkansas @ Alabama,Arkansas-Alabama09-27-2003,Arkansas,Alabama,AR,UA,4.1,N/A,CBS,AR@UA09-27-2003
10/25/2003,Tennessee @ Alabama,Tennessee-Alabama10-25-2003,Tennessee,Alabama,TENN,UA,3.7,N/A,CBS,TENN@UA10-25-2003
10/5/2002,Georgia @ Alabama,Georgia-Alabama10-05-2002,Georgia,Alabama,UGA,UA,2.6,N/A,CBS,UGA@UA10-05-2002
11/23/2002,Auburn @ Alabama,Auburn-Alabama11-23-2002,Auburn,Alabama,AU,UA,2.9,N/A,CBS,AU@UA11-23-2002
9/22/2001,Arkansas @ Alabama,Arkansas-Alabama09-22-2001,Arkansas,Alabama,AR,UA,2,N/A,CBS,AR@UA09-22-2001
10/20/2001,Tennessee @ Alabama,Tennessee-Alabama10-20-2001,Tennessee,Alabama,TENN,UA,2.2,N/A,CBS,TENN@UA10-20-2001
11/3/2001,LSU @ Alabama,LSU-Alabama11-03-2001,LSU,Alabama,LSU,UA,2,N/A,CBS,LSU@UA11-03-2001
10/13/2018,Missouri @ Alabama,Missouri-Alabama10-13-2018,Missouri,Alabama,MIZZU,UA,N/A,3757737,ESPN,MIZZU@UA10-13-2018
9/1/2017,Louisville @ Alabama [ABC],Louisville-Alabama09-01-2017,Louisville,Alabama,LOU,UA,N/A,4589488,ABC,LOU@UA09-01-2017
10/14/2017,Arkansas @ Alabama,Arkansas-Alabama10-14-2017,Arkansas,Alabama,AR,UA,N/A,3866420,ESPN,AR@UA10-14-2017
9/2/2017,Florida State @ Alabama (ABC),Florida State-Alabama09-02-2017,Florida State,Alabama,FSU,UA,N/A,12556761,ABC,FSU@UA09-02-2017
10/1/2016,Kentucky @ Alabama,Kentucky-Alabama10-01-2016,Kentucky,Alabama,UK,UA,1.9,3190025,ESPN,UK@UA10-01-2016
9/30/2017,Ole Miss @ Alabama,Mississippi (Ole Miss)-Alabama09-30-2017,Mississippi (Ole Miss),Alabama,OM,UA,N/A,3028044,ESPN,OM@UA09-30-2017
11/12/2016,Mississippi State @ Alabama,Mississippi State-Alabama11-12-2016,Mississippi State,Alabama,MS,UA,2,3257079,ESPN,MS@UA11-12-2016
9/3/2016,USC @ Alabama (ABC),South Carolina-Alabama09-03-2016,South Carolina,Alabama,SCAR,UA,4.6,7943689,ABC,SCAR@UA09-03-2016
10/10/2015,Arkansas @ Alabama,Arkansas-Alabama10-10-2015,Arkansas,Alabama,AR,UA,2.9,4834748,ESPN,AR@UA10-10-2015
9/5/2015,Wisconsin @ Alabama ( ABC),Wisconsin-Alabama09-05-2015,Wisconsin,Alabama,WIS,UA,4.3,7967233,ABC,WIS@UA09-05-2015
12/7/2014,Auburn @ Alabama,Auburn-Alabama12-07-2014,Auburn,Alabama,AU,UA,7.4,13529483,ESPN,AU@UA12-07-2014
10/19/2013,ARK @ ALA,Arkansas-Alabama10-19-2013,Arkansas,Alabama,AR,UA,1.5,2330685,ESPN,AR@UA10-19-2013
9/19/2015,Ole Miss @ Alabama,Mississippi (Ole Miss)-Alabama09-19-2015,Mississippi (Ole Miss),Alabama,OM,UA,4.6,7604858,ESPN,OM@UA09-19-2015
10/27/2012,MSU @ ALA,Mississippi State-Alabama10-27-2012,Mississippi State,Alabama,MS,UA,2.4,3661213,ESPN,MS@UA10-27-2012
9/1/2012,Michigan vs. ALA (ABC),Michigan-Alabama09-01-2012,Michigan,Alabama,MICH,UA,4.8,7917994,ABC,MICH@UA09-01-2012
10/17/2009,USC @ ALA,South Carolina-Alabama10-17-2009,South Carolina,Alabama,SCAR,UA,3.3,N/A,ESPN,SCAR@UA10-17-2009
9/28/2013,UM @ ALA,Mississippi (Ole Miss)-Alabama09-28-2013,Mississippi (Ole Miss),Alabama,OM,UA,2.3,4021712,ESPN,OM@UA09-28-2013
11/15/2008,MSU @ ALA,Mississippi State-Alabama11-15-2008,Mississippi State,Alabama,MS,UA,3.32,N/A,ESPN,MS@UA11-15-2008
9/15/2007,ARK @ ALA,Arkansas-Alabama09-15-2007,Arkansas,Alabama,AR,UA,2.73,N/A,ESPN,AR@UA09-15-2007
9/22/2007,UGA @ ALA,Georgia-Alabama09-22-2007,Georgia,Alabama,UGA,UA,3.32,N/A,ESPN,UGA@UA09-22-2007
11/24/2007,AUB @ ALA,Auburn-Alabama11-24-2007,Auburn,Alabama,AU,UA,2.16,N/A,ESPN,AU@UA11-24-2007
9/29/2012,UM @ ALA,Mississippi (Ole Miss)-Alabama09-29-2012,Mississippi (Ole Miss),Alabama,OM,UA,2.5,3496323,ESPN,OM@UA09-29-2012
9/6/2003,Oklahoma @ Alabama,Oklahoma-Alabama09-06-2003,Oklahoma,Alabama,OU,UA,3.16,N/A,ESPN,OU@UA09-06-2003
9/13/2003,Kentucky @ Alabama,Kentucky-Alabama09-13-2003,Kentucky,Alabama,UK,UA,1.84,N/A,ESPN,UK@UA09-13-2003
11/15/2003,LSU @ Alabama,LSU-Alabama11-15-2003,LSU,Alabama,LSU,UA,2.23,N/A,ESPN,LSU@UA11-15-2003
9/1/2001,UCLA @ Alabama,UCLA-Alabama09-01-2001,UCLA,Alabama,UCLA,UA,2.57,N/A,ESPN,UCLA@UA09-01-2001
9/8/2018,Arkansas State @ Alabama,Arkansas State-Alabama09-08-2018,Arkansas State,Alabama,ARSTU,UA,N/A,1662808,ESPN2,ARSTU@UA09-08-2018
10/16/2010,UM @ ALA,Mississippi (Ole Miss)-Alabama10-16-2010,Mississippi (Ole Miss),Alabama,OM,UA,2.1,3143497,ESPN2,OM@UA10-16-2010
9/9/2017,Fresno State @ Alabama,Fresno State-Alabama09-09-2017,Fresno State,Alabama,FRESNO,UA,N/A,2136259,ESPN2,FRESNO@UA09-09-2017
9/16/2017,Colorado State @ Alabama,Colorado State-Alabama09-16-2017,Colorado State,Alabama,COSTU,UA,N/A,1653298,ESPN2,COSTU@UA09-16-2017
9/10/2016,Western Kentucky @ Alabama,Western Kentucky-Alabama09-10-2016,Western Kentucky,Alabama,WKU,UA,1.4,2467432,ESPN2,WKU@UA09-10-2016
11/19/2016,Chattanooga @ Alabama,Chattanooga-Alabama11-19-2016,Chattanooga,Alabama,UTC,UA,1.5,1713877,ESPN2,UTC@UA11-19-2016
10/18/2008,UM @ ALA,Mississippi (Ole Miss)-Alabama10-18-2008,Mississippi (Ole Miss),Alabama,OM,UA,2,N/A,CBS,OM@UA10-18-2008
8/30/2014,West VA vs. Alabama,West Virginia-Alabama08-30-2014,West Virginia,Alabama,WVU,UA,4,6404692,ESPN2,WVU@UA08-30-2014
10/14/2006,UM @ AL,Mississippi (Ole Miss)-Alabama10-14-2006,Mississippi (Ole Miss),Alabama,OM,UA,2.3,N/A,CBS,OM@UA10-14-2006
9/21/2013,Colorado St @ ALA,Colorado State-Alabama09-21-2013,Colorado State,Alabama,COSTU,UA,1.6,2778750,ESPN2,COSTU@UA09-21-2013
9/11/2004,Ole Miss @ Alabama,Mississippi (Ole Miss)-Alabama09-11-2004,Mississippi (Ole Miss),Alabama,OM,UA,1.01,0.81,ESPN2,OM@UA09-11-2004
10/22/2011,UT @ ALA,Tennessee-Alabama10-22-2011,Tennessee,Alabama,TENN,UA,2.6,3998509,ESPN2,TENN@UA10-22-2011
11/13/2010,MSU @ ALA,Mississippi State-Alabama11-13-2010,Mississippi State,Alabama,MS,UA,1.42,2343251,ESPN2,MS@UA11-13-2010
10/19/2002,Ole Miss @ Alabama,Mississippi (Ole Miss)-Alabama10-19-2002,Mississippi (Ole Miss),Alabama,OM,UA,2.2,N/A,CBS,OM@UA10-19-2002
10/2/2004,S. Carolina @ Alabama,South Carolina-Alabama10-02-2004,South Carolina,Alabama,SCAR,UA,1.35,1.45,ESPN2,SCAR@UA10-02-2004
11/6/2004,Miss. State @ Alabama,Mississippi State-Alabama11-06-2004,Mississippi State,Alabama,MS,UA,1.06,0.84,ESPN2,MS@UA11-06-2004
